"","X","Date","Site.ID","Daily.Mean.PM2.5.Concentration","SITE_LATITUDE","SITE_LONGITUDE","year","school_year","consecutive_missing","max_consecutive_missing","count","aq_good","aq_mod","aq_uh1","aq_uh2","aq_vuh","PM2.5_average"
"1",62,"2005-01-01",60010007,8.3,37.687526,-121.784217,2005,2004,0,0,365,264,93,8,0,0,11.0319178082192
"2",93,"2006-01-01",60010007,8.8,37.687526,-121.784217,2006,2005,0,0,365,267,92,5,1,0,9.92931506849315
"3",124,"2007-01-01",60010007,22.3,37.687526,-121.784217,2007,2006,0,0,365,245,107,13,0,0,11.2891780821918
"4",186,"2009-01-01",60010007,15.3,37.687526,-121.784217,2009,2008,0,0,365,272,84,9,0,0,9.93054794520548
"5",279,"2012-01-01",60010007,15.3,37.687526,-121.784217,2012,2011,0,0,366,314,50,2,0,0,7.83224043715847
"6",310,"2013-01-01",60010007,17.2,37.687526,-121.784217,2013,2012,0,0,365,311,53,1,0,0,7.23219178082192
"7",465,"2018-01-01",60010007,28.1,37.687526,-121.784217,2018,2017,0,1,365,291,71,3,0,0,8.92342465753425
"8",7794,"2012-01-01",60010009,18.7,37.743065,-122.169935,2012,2011,0,0,366,277,86,3,0,0,10.2049180327869
"9",7980,"2018-01-01",60010009,27.1,37.743065,-122.169935,2018,2017,0,0,365,283,75,5,2,0,9.97904109589041
"10",8104,"2022-01-01",60010009,13.2,37.743065,-122.169935,2022,2021,0,0,365,291,73,0,0,0,8.35123626373626
"11",8135,"2023-01-01",60010009,9.2,37.743065,-122.169935,2023,2022,0,0,365,313,52,0,0,0,7.63287671232877
"12",13269,"2010-01-01",60010011,14.7,37.814781,-122.282347,2010,2009,0,0,365,217,148,0,0,0,11.5232876712329
"13",13672,"2023-01-01",60010011,4.2,37.814781,-122.282347,2023,2022,0,0,365,312,53,0,0,0,7.37369863013699
"14",18410,"2015-01-01",60010012,10.7,37.793624,-122.263376,2015,2014,0,0,365,283,81,1,0,0,9.76931506849315
"15",18441,"2016-01-01",60010012,4,37.793624,-122.263376,2016,2015,0,0,366,286,80,0,0,0,9.02814207650273
"16",18503,"2018-01-01",60010012,25.1,37.793624,-122.263376,2018,2017,0,0,365,215,141,7,2,0,12.6542465753425
"17",18596,"2021-01-01",60010012,16.6,37.793624,-122.263376,2021,2020,0,0,365,283,73,2,4,1,10.0994490358127
"18",18658,"2023-01-01",60010012,3.9,37.793624,-122.263376,2023,2022,0,0,365,287,77,1,0,0,8.76013698630137
"19",23764,"2021-01-01",60010015,13.5,37.7012220009132,-121.903019,2021,2020,0,0,365,287,61,7,10,0,11.8401369863014
"20",28726,"2010-01-01",60012004,11.8,37.877794,-122.30129,2010,2009,0,0,365,279,86,0,0,0,9.52931506849315
"21",35214,"2014-01-01",60070008,62.8,39.76168,-121.84047,2014,2013,0,0,365,242,119,3,1,0,11.6876712328767
"22",35245,"2015-01-01",60070008,39,39.76168,-121.84047,2015,2014,0,0,365,280,82,3,0,0,9.7254794520548
"23",35276,"2016-01-01",60070008,19.2,39.76168,-121.84047,2016,2015,0,0,366,297,69,0,0,0,8.90273224043716
"24",35307,"2017-01-01",60070008,19.6,39.76168,-121.84047,2017,2016,0,1,365,222,140,3,0,0,11.4419178082192
"25",35338,"2018-01-01",60070008,28,39.76168,-121.84047,2018,2017,0,0,365,205,156,4,0,0,12.653698630137
"26",35369,"2019-01-01",60070008,13.5,39.76168,-121.84047,2019,2018,0,0,365,245,91,15,8,6,17.6035616438356
"27",35493,"2023-01-01",60070008,5.6,39.76168,-121.84047,2023,2022,0,0,365,311,50,3,0,0,7.33557692307692
