"","County.Code","District.Code","School.Code","Grade","Year","Subgroup","Percentage.Standard.Met.and.Above","School.Name","Zip.Code"
"1",1,61119,111765,2,2010,31,46.4507042253521,"Ruby Bridges Elementary",94501
"2",1,61119,111765,2,2010,111,65.4823529411765,"Ruby Bridges Elementary",94501
"3",1,61119,111765,3,2010,31,58.1142857142857,"Ruby Bridges Elementary",94501
"4",1,61119,111765,3,2010,111,70,"Ruby Bridges Elementary",94501
"5",1,61119,111765,4,2010,31,61.5,"Ruby Bridges Elementary",94501
"6",1,61119,111765,4,2010,111,94,"Ruby Bridges Elementary",94501
"7",1,61119,111765,5,2010,31,53.1091954022989,"Ruby Bridges Elementary",94501
"8",1,61119,111765,5,2010,111,68.3333333333333,"Ruby Bridges Elementary",94501
"9",1,61119,119222,2,2010,111,81.5,"Nea Community Learning Center",94501
"10",1,61119,119222,3,2010,111,81.5,"Nea Community Learning Center",94501
"11",1,61119,119222,4,2010,111,71.5,"Nea Community Learning Center",94501
"12",1,61119,119222,5,2010,111,76.6666666666667,"Nea Community Learning Center",94501
"13",1,61119,119222,6,2010,31,50,"Nea Community Learning Center",94501
"14",1,61119,119222,6,2010,111,62,"Nea Community Learning Center",94501
"15",1,61119,119222,7,2010,111,48.6065573770492,"Nea Community Learning Center",94501
"16",1,61119,119222,8,2010,31,67,"Nea Community Learning Center",94501
"17",1,61119,119222,8,2010,111,59.328125,"Nea Community Learning Center",94501
"18",1,61119,119222,9,2010,111,21,"Nea Community Learning Center",94501
"19",1,61119,130229,9,2010,31,44.85,"Alameda High",94501
"20",1,61119,130229,9,2010,111,65.660447761194,"Alameda High",94501
"21",1,61119,130229,10,2010,31,42.6838565022422,"Alameda High",94501
"22",1,61119,130229,10,2010,111,60.3856366928183,"Alameda High",94501
"23",1,61119,130229,11,2010,31,38.8926380368098,"Alameda High",94501
"24",1,61119,130229,11,2010,111,56.9768595041322,"Alameda High",94501
"25",1,61119,6090013,2,2010,111,88,"Edison Elementary",94501
"26",1,61119,6090013,3,2010,111,90,"Edison Elementary",94501
"27",1,61119,6090013,4,2010,111,91,"Edison Elementary",94501
"28",1,61119,6090013,5,2010,111,91.3167701863354,"Edison Elementary",94501
